"buyPrice","sellVolume","sellMovingWeek","productId","sellOrders","buyOrders","sellPrice","buyVolume","buyMovingWeek"
"12667.330101","2984717","149024","ABSOLUTE_ENDER_PEARL","418","642","8972.652227","123485","102143"
"729499.055556","4259","1793","ACACIA_BIRDHOUSE","160","339","364500.859829","2461","4918"
"208897960.707692","1762347","361876","AMALGAMATED_CRIMSONITE","951","92","135.873454","16463","267418"
"312999.588889","338570","7903","AMALGAMATED_CRIMSONITE_NEW","171","47","93208.644134","501","4186"
"699998.02381","1590","439","AMBER_MATERIAL","177","283","458678.273494","863","167"
"204.230622","10068310","17272047","ANCIENT_CLAW","419","1095","189.160409","1851903","1779746"
"4999998.65","371","410","AOTE_STONE","98","16","4132502.65","66","522"
"4745.014397","1143211","54896","ARACHNE_KEEPER_FRAGMENT","488","333","2294.1","83878","64485"
"0","0","0","BAZAAR_COOKIE","0","0","0","0","0"
"164830.463472","28953","56699","BEATING_HEART","803","3466","81262.829545","27635","52078"
"17.224387","6516551","40361745","BLAZE_ROD","201","89","13.860344","1324938","17033673"
"39998.63125","2071147","29750","BLAZE_ROD_DISTILLATE","479","34","3725.317219","1524","31651"
"538526.516667","10864","2528","BLAZE_WAX","804","90","360661.946792","450","4623"
"213.359348","2401832","1620136","BLESSED_BAIT","216","530","100.271436","790638","1144100"
"1169790.8","1114","406","BLESSED_FRUIT","93","38","898261.108696","121","673"
"6984.340215","572196","91502","BLUE_SHARK_TOOTH","145","208","1880.293303","134573","80734"
"2.430598","4029697","33266264","BONE","87","924","1.218417","6173457","8149245"
"3285694.669154","276970","78416","BOOSTER_COOKIE","11091","3178","2976051.524437","44586","87471"
"5.321251","730570","25558842","BROWN_MUSHROOM","19","183","2.9","2732823","5640058"
"260339.069231","7444","273","BULKY_STONE","197","178","107507.838415","373","155"
"1.354619","1434038","42600101","CACTUS","38","1262","1","43287265","16398605"
"997.992025","9917","8349","CANDY_CORN","54","307","120.290148","3353","2803"
"48.07412","3968666","1150499","CARROT_BAIT","176","262","15.004721","454026","1312253"
"2.634489","5145114","59267295","CARROT_ITEM","83","1309","1.638495","17863255","33736591"
"146682.718068","791691","151678","CATALYST","814","315","96961.874482","120939","40981"
"16623.59038","5612718","148673","CHEESE_FUEL","1111","1080","3003.505184","670785","153373"
"3.664854","7073956","61716106","CLAY_BALL","145","899","2.505624","6755321","27955934"
"5.794783","32279944","360620878","COAL","551","1350","4.156779","17680866","25672743"
"2.998943","4907132","84775614","COBBLESTONE","90","1478","2.257299","7547093","26366979"
"714999.185484","2541295","6568","COLOSSAL_EXP_BOTTLE","981","49","26275.915878","1721","9971"
"3364.08895","7253","38933","COMPACTOR","137","1895","2572.941176","26614","39181"
"1298999.655","680140","1694","CONCENTRATED_STONE","419","22","754175.35038","961","4304"
"29.697274","2537012","2173931","CORRUPTED_BAIT","96","2518","10.222754","4644848","1814267"
"628.635488","26342518","11772913","CRUDE_GABAGOOL","1019","406","325.96854","552503","9638422"
"102945.13945","346976","17187","CRUDE_GABAGOOL_DISTILLATE","272","35","65140.687786","1228","20719"
"21299999.825","35597","848","DAEDALUS_STICK","638","58","5721351.906824","163","463"
"1159.3172","1391622","1268832","DARK_BAIT","255","791","837.311776","536595","721080"
"1215649.042308","8009","8933","DARK_ORB","448","305","1174645.616514","1264","9322"
"6440566.930435","3198","534","DEEP_SEA_ORB","173","356","5400000.65","3258","611"
"2024.790076","5560156","4367233","DERELICT_ASHE","508","677","1515.989964","741495","2765345"
"14.274475","8534533","194023876","DIAMOND","243","838","7.5","4268299","11066226"
"11012.936066","2972","2420","DIAMOND_ATOM","29","558","6068.4","5543","1359"
"1449999.9","321","162","DIAMONITE","57","16","1000002.114286","60","233"
"0","6879","159","DIRT_BOTTLE","117","36","0","160","168"
"1122699.084783","1355","3632","DRAGON_CLAW","83","291","701000.4","1502","4303"
"7528081.4","298","391","DRAGON_HORN","21","34","6706599.842857","84","485"
"37423.225","26851","3071","DRAGON_SCALE","304","328","7468.584045","2797","2931"
"421401.538272","4736","4810","DWARVEN_COMPACTOR","342","1451","379684.61129","15660","7278"
"12533146.4","10818","379","ECCENTRIC_PAINTING","345","48","4854723.077419","234","469"
"123478.188679","499903","30242","ECTOPLASM","334","10","80491.783434","516","39889"
"6.701492","4272585","39366415","EMERALD","96","790","5.042509","3695872","22689435"
"1632.428136","2026839","2420088","ENCHANTED_ACACIA_LOG","243","2105","1308.812455","1372363","1732699"
